127.0.0.1, 2019-05-16 11:31:27, GET, /start/default/index, HTTP/1.1, 500, 0.112000
127.0.0.1, 2019-05-16 11:31:27, GET, /admin/default/ticket/start/127.0.0.1.2019-05-16.11-31-26.8a0b470b-20af-4b23-a10a-22bc057d4650, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/default/index, HTTP/1.1, 200, 0.220000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.004000
000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.004000
03000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-16 11:31:48, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000

127.0.0.1, 2019-05-16 11:32:30, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 11:32:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/default/index, HTTP/1.1, 200, 0.105000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:34:06, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
